id,temperature,season,outer,top,bottom
1,-30,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
2,-29,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
3,-28,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
4,-27,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
5,-26,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
6,-25,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
7,-24,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
8,-23,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
9,-22,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
10,-21,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
11,-20,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
12,-19,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
13,-18,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
14,-17,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
15,-16,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
16,-15,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
17,-14,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
18,-13,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
19,-12,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
20,-11,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
21,-10,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
22,-9,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
23,-8,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
24,-7,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
25,-6,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
26,-5,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
27,-4,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
28,-3,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
29,-2,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
30,-1,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
31,0,winter,"무스탕/퍼,플리스/뽀글이,숏패딩/숏헤비 아우터,겨울 싱글 코트,겨울 더블 코트,겨울 기타 코트,롱패딩/롱헤비 아우터","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,셔츠/블라우스","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
32,1,autumn,"패딩 베스트,후드 집업,블루종/MA-1,레더/라이더스 재킷,트러커 재킷,슈트/블레이저 재킷,카디건,아노락 재킷,트레이닝 재킷,스타디움 재킷,환절기 코트,베스트,사파리/헌팅 재킷,나일론/코치 재킷","맨투맨/스웨트셔츠,후드 티셔츠,니트/스웨터,긴소매 티셔츠,셔츠/블라우스,피케/카라 티셔츠","데님 팬츠,트레이닝/조거 팬츠,슈트 팬츠/슬랙스"
